pickup_hour,pickup_day,total_revenue,trip_distance,fare_amount,tip_amount,trip_count,day_order
19,Saturday,23.959879136924076,3.0274843561694635,18.640569203671085,2.867104037267081,86296,6
20,Saturday,25.47038182988103,3.3041528962392013,19.124757608531958,3.0470283257807043,73043,6
21,Saturday,25.555933960024024,3.3537498079421173,19.04420446133002,3.1874072884220523,71593,6
22,Saturday,26.185333166770768,3.4480939412866958,19.77304184884447,3.1574602123672704,80050,6
23,Saturday,26.320231194927327,3.5336844958210953,20.216092629243512,2.908777843609364,79327,6
0,Sunday,24.64493832366895,3.3341125084720233,19.01518081180812,2.6060231945176597,66395,7
1,Sunday,22.598700557763113,3.100635777040574,17.403361343006086,2.344621231453465,54862,7
2,Sunday,21.712163286531464,3.024031894609118,16.571525889607013,2.2866614664586584,40383,7
3,Sunday,22.13947317146283,3.201900104916067,16.99267648381295,2.229086855515588,26688,7
4,Sunday,26.280355602120054,4.148051892025144,20.720964501417477,2.344497719709109,16226,7
5,Sunday,37.87775976724854,6.482245774452757,29.41528539761707,3.8675131615405927,7218,7
6,Sunday,35.498826982120285,6.23867708145205,28.093148817048945,3.6617726205526457,11074,7
7,Sunday,31.68449111366833,5.367915867536121,24.71871627669096,3.4128091036951798,15642,7
8,Sunday,28.685021381365818,4.6473387758628135,22.043307848473066,3.2588004837803983,23151,7
9,Sunday,25.195216182743913,3.832396862529242,19.230934360809137,2.8975018577129488,36335,7
10,Sunday,24.637306282938077,3.5973554841897237,18.741265027997365,2.8879308712121214,48576,7
11,Sunday,24.98739556454425,3.5405111932491806,19.05950990306158,2.992526849850059,57356,7
12,Sunday,26.280262023523616,3.6951571833240964,20.077688897099577,3.184602808054683,64956,7
13,Sunday,27.34519672107321,3.838740025870965,20.925214162173162,3.340089530979754,68803,7
14,Sunday,28.587967402906642,3.999412513342639,21.928943536688838,3.47732764047404,73074,7
15,Sunday,28.94727257088793,4.075587889561054,22.221728403910664,3.5663490925771955,69758,7
16,Sunday,28.931851493885784,4.013874017733327,22.170285610230984,3.609079155635864,71391,7
17,Sunday,27.496737922655857,3.7627224702076254,21.188111852792225,3.3614387703564166,73257,7
18,Sunday,27.095908399600226,3.758220426135952,20.682388360202204,3.4432407769521576,69039,7
19,Sunday,27.168071376547708,3.920157319737801,20.636147608642872,3.4995630007283323,61785,7
20,Sunday,28.667754469648173,4.131801437947183,21.081078808558047,3.6739815121076544,57443,7
21,Sunday,29.77181324921136,4.418081838666065,21.877735015772874,3.8285070752591257,55475,7
22,Sunday,31.486153516295026,4.9416581655682945,23.598226053985734,3.8197828834521985,44308,7
23,Sunday,35.52624082547677,5.9136486195989315,26.80307250560452,4.18011209040936,32563,7
