zone_id,total_revenue,avg_revenue,trip_count,avg_distance,avg_fare,revenue_per_trip,stress_score
28,62791.299999999996,50.679015334947536,1239,8.529241323648103,43.1089184826473,50.679015334947536,0.28789911077346286
29,30265.13,41.63016506189821,727,9.433163686382393,39.0339477303989,41.63016506189821,0.3254603204896315
30,1219.1399999999999,38.098124999999996,32,7.9078125,32.7503125,38.098124999999996,0.33959392250638215
31,4605.35,51.17055555555556,90,9.982333333333333,44.61033333333333,51.17055555555556,0.28460464758210813
32,16172.96,41.15256997455471,393,9.851501272264631,37.78748091603053,41.15256997455471,0.32711564727900083
33,202936.29,31.230577100646354,6498,5.241183441058787,26.839627577716218,31.230577100646354,0.3754055007262154
34,16697.26,30.08515315315315,555,5.047891891891892,26.630234234234237,30.08515315315315,0.3738957876315945
35,86904.38,30.122835355285964,2885,5.913247833622184,28.617462738301562,30.122835355285964,0.3762201439604702
36,70580.94,31.608123600537393,2233,5.492987012987013,28.20875055978504,31.608123600537393,0.3692704189459482
37,99125.65,30.689055727554177,3230,5.60667492260062,28.127458204334367,30.689055727554177,0.37420331774809673
38,29010.21,50.717150349650346,572,12.853356643356642,47.35865384615385,50.717150349650346,0.2870277036601233
39,125331.31999999999,32.31854564208355,3878,6.395103145951521,30.644584837545125,32.31854564208355,0.3680317154250609
40,43301.1,29.336788617886178,1476,4.548035230352303,24.00338753387534,29.336788617886178,0.37802882244050495
41,548824.64,21.414204221780015,25629,3.0083842522142885,17.6291123336845,21.414204221780015,0.4371321702039723
42,317937.48,23.95189694138918,13274,4.025358595751093,21.250644116317613,23.95189694138918,0.41327881595046745
43,3114308.41,21.21506849595019,146797,2.2472968112427365,15.510307635714625,21.21506849595019,0.5670976410065465
44,63.98,63.98,1,47.29,46.4,63.98,0.23056621349890052
45,402805.68,26.30653605015674,15312,3.5218384273772205,20.92460880355277,26.30653605015674,0.40553474104157733
46,5239.74,48.51611111111111,108,12.072592592592592,44.50537037037037,48.51611111111111,0.295802320784016
47,22227.91,33.175985074626865,670,7.267179104477612,30.77010447761194,33.175985074626865,0.3610021200040036
48,5196283.99,21.894670270634684,237331,2.5119672946222784,16.048797375816896,21.894670270634684,0.6607163612373068
49,86901.24,30.226518260869568,2875,5.356038260869566,27.69830956521739,30.226518260869568,0.37577285397448174
50,1271383.94,21.421801853411964,59350,2.5715934288121316,16.22235551811289,21.421801853411964,0.4730361228842471
51,56884.27,43.323891850723534,1313,10.982551408987053,40.32765422696116,43.323891850723534,0.3189521291152645
52,56669.03,30.288097274184928,1871,4.655526456440406,25.12701763762694,30.288097274184928,0.37444358297291186
53,12256.03,40.31588815789474,304,8.12078947368421,34.511776315789476,40.31588815789474,0.3305442655882147
54,10530.31,31.062861356932153,339,4.94070796460177,26.598761061946902,31.062861356932153,0.36954824020151733
55,74146.25,45.101125304136254,1644,10.909105839416059,42.82484184914841,45.101125304136254,0.3118205219485012
56,53342.77,45.47550724637681,1173,7.474194373401534,39.08992327365729,45.47550724637681,0.3097419739796529
57,3525.29,45.19602564102564,78,8.876410256410256,37.76243589743589,45.19602564102564,0.3097520122967668
58,1556.04,34.57866666666666,45,7.740222222222222,30.53044444444444,34.57866666666666,0.3544290445487021
59,695.81,34.790499999999994,20,7.434,30.601499999999998,34.790499999999994,0.35351032236578134
60,15433.55,33.91989010989011,455,7.855626373626373,31.343626373626375,33.91989010989011,0.35764023847961457
61,190853.53,29.280995704203743,6518,5.332826020251611,27.440211721386927,29.280995704203743,0.38363696095286853
62,59963.76,28.926078147612156,2073,5.17904486251809,27.273309213699953,28.926078147612156,0.38039463465005735
63,35304.03,33.08718837863168,1067,6.644667291471415,30.62170571696345,33.08718837863168,0.36179914056838125
64,6575.46,41.881910828025475,157,10.341783439490447,37.85,41.881910828025475,0.32379271957995126
65,213507.22,30.233251203625034,7062,4.939144718210138,25.637115548003397,30.233251203625034,0.38020652110107095
66,157147.02,31.050586840545346,5061,4.959217545939538,26.60970559178028,31.050586840545346,0.37463209344077986
67,10499.65,31.24895833333333,336,6.286964285714286,29.131369047619046,31.24895833333333,0.36876134494021884
68,6123424.22,23.644116486410304,258983,2.534963414587058,17.487027063552436,23.644116486410304,0.6764232325768078
