date,total_revenue,avg_revenue,trip_count,avg_distance,avg_fare,avg_tip,week_num,month_name,is_weekend,revenue_trend
2024-06-20,3181198.94,26.595540154162556,119614,3.15091611349842,19.556310716136906,3.4024232949320314,22,June,False,26.165920781590458
2024-06-21,2961110.5,26.0054494357353,113865,3.2023357484740704,19.13153269222325,3.247694462740965,23,June,False,26.187749114059123
2024-06-22,2725225.11,24.156370638916464,112816,3.1800071798326477,18.35140955183662,2.9364129201531695,24,June,True,26.20957744652779
2024-06-23,2558207.5,26.14551075680924,97845,3.6541854974704893,19.698664316010017,3.2684599110838572,25,June,True,26.231405778996454
2024-06-24,2937765.97,27.997655271659887,104929,3.745658016372976,20.52427022081598,3.561758903639604,26,June,False,26.25323411146512
2024-06-25,3263615.73,26.909538427288695,121281,3.276569619313825,19.966877581814135,3.3309923236121075,27,June,False,26.275062443933784
2024-06-26,3408128.55,26.775570962800014,127285,3.106742899791806,19.97539474407825,3.2996870801744116,28,June,False,26.29689077640245
2024-06-27,3459743.78,28.360182797373618,121993,3.4405569991720837,21.190919642930332,3.5071774610018607,29,June,False,26.318719108871115
2024-06-28,2920476.6,27.27149006900802,107089,3.447982332452446,20.32735388321863,3.295183352165022,30,June,False,26.34054744133978
2024-06-29,2613826.38,24.884815636394794,105037,3.3044860382531867,19.10742395536811,2.9006989917838473,31,June,True,26.362375773808445
2024-06-30,2342580.64,26.880486528663884,87148,3.7611703079818235,20.74478152109056,3.060444416395098,32,June,True,26.38420410627711
2024-07-01,2242471.37,27.46645644505414,81644,3.8353175983538286,20.307411322326196,3.3210031355641565,33,July,False,26.406032438745772
2024-07-02,2163213.23,25.747634141115977,84016,3.392596291182632,18.969887878499335,3.17279065892211,34,July,False,26.427860771214437
2024-07-03,1985847.77,25.923551903294868,76604,3.4578108192783668,19.144572476633076,3.1336448488329594,35,July,False,26.449689103683102
2024-07-04,1524274.17,26.004848076430946,58615,3.833453723449629,20.068699650260175,2.8794943273905997,36,July,False,26.471517436151768
2024-07-05,1820469.46,25.861880043186726,70392,3.596794237981589,19.245853079895443,2.9693256335947265,37,July,False,26.493345768620433
2024-07-06,1913137.21,26.76315273347882,71484,3.833446365620279,20.283187566448433,3.3209418890940627,38,July,True,26.515174101089098
2024-07-07,2111145.01,29.380218910042302,71856,4.4654264083723,22.12837341349365,3.7034169728345576,39,July,True,26.537002433557763
2024-07-08,2460310.96,28.247941490522063,87097,3.891288678140464,20.70769234301985,3.602116605623615,40,July,False,26.55883076602643
2024-07-09,2801278.61,26.41693882554861,106041,3.3032512895955337,19.41240133533256,3.378379966239473,41,July,False,26.580659098495094
2024-07-10,2948225.38,25.87115761947384,113958,3.1499316414819494,19.052084715421472,3.289167061548992,42,July,False,26.60248743096376
2024-07-11,3041059.09,26.96811147075777,112765,3.327120649137587,19.945776349044475,3.3957451336850974,43,July,False,26.624315763432424
2024-07-12,2523055.73,26.010615663756045,97001,3.366255399428872,19.116022927598685,3.240485458912795,44,July,False,26.64614409590109
2024-07-13,2380267.33,24.730564063668858,96248,3.3428706051034824,18.804230009974233,3.015215484997091,45,July,True,26.667972428369755
2024-07-14,2428707.12,26.49517945585059,91666,3.9068857591691577,20.255669168503044,3.089349813453189,46,July,True,26.68980076083842
2024-07-15,2683256.18,27.481397597271584,97639,3.7559351283810773,20.30566023822448,3.3940396767685046,47,July,False,26.711629093307085
2024-07-16,3184675.09,26.02624211369357,122364,3.1616989474028308,19.333362181687423,3.191355954365663,48,July,False,26.73345742577575
2024-07-17,3165042.46,25.77543068415952,122793,3.0264139649654296,19.1855293868543,3.174713216551432,49,July,False,26.755285758244415
2024-07-18,3168187.43,27.51810919734911,115131,3.4672794468909327,20.371004160478066,3.454016555054677,50,July,False,26.77711409071308
2024-07-19,2662282.85,26.462992028149976,100604,3.5072211840483476,19.595640431791978,3.228395590632579,51,July,False,26.798942423181746
2024-07-20,2522641.83,25.00066231925711,100903,3.4382901400354795,19.172218269030655,2.940424268852264,52,July,True,26.820770755650408
2024-07-21,2376517.71,26.952590446163267,88174,3.979254088506816,20.529873318665366,3.1970282622995443,53,July,True,26.842599088119073
2024-07-22,2430266.86,27.042326720003558,89869,3.690798050495722,19.877289832979113,3.3913933614483303,54,July,False,26.864427420587738
2024-07-23,2795722.7399999998,26.670381492964463,104825,3.353050894347722,19.641935225375626,3.3788445504412117,55,July,False,26.886255753056403
2024-07-24,2876605.73,26.290299770602374,109417,3.3075516601624977,19.343123280660226,3.350903058939653,56,July,False,26.90808408552507
2024-07-25,2974841.56,27.28286324825518,109037,3.427140511936315,20.106799526766146,3.473797426561626,57,July,False,26.929912417993734
2024-07-26,2517707.98,26.66131521819703,94433,3.4938540552561075,19.586657100801627,3.3556032319210445,58,July,False,26.9517407504624
2024-07-27,2322460.5,25.11392562474994,92477,3.4016581420245036,19.061375801550657,3.1046929506796284,59,July,True,26.973569082931064
2024-07-28,2291448.37,27.06424427462884,84667,3.955271829638466,20.511404561399367,3.2789150436415606,60,July,True,26.99539741539973
2024-07-29,2282018.19,27.21158796594405,83862,3.7224633326178718,19.85625945004889,3.4982788390450974,61,July,False,27.017225747868395
2024-07-30,2535249.65,25.748770071398827,98461,3.1860129391332612,18.74947898152568,3.386654005139091,62,July,False,27.03905408033706
2024-07-31,2750801.15,26.15053711819452,105191,3.2322622657831945,19.170540825736044,3.3827347396640395,63,July,False,27.060882412805725
2024-08-01,2939823.58,26.198600696888953,112213,3.292065536078707,19.289746553429637,3.2936985910723355,64,August,False,27.08271074527439
